Begin	End	Strength	Year	Entity
2013.0	2015.0	15.0375	2013.0	Pradhan B, 2010, ENVIRON MODELL SOFTW, V25, P747, DOI 10.1016/j.envsoft.2009.10.016
2013.0	2017.0	14.5924	2013.0	Pourghasemi HR, 2012, NAT HAZARDS, V63, P965, DOI 10.1007/s11069-012-0217-2
2013.0	2015.0	14.5151	2013.0	Pradhan B, 2010, ENVIRON EARTH SCI, V60, P1037, DOI 10.1007/s12665-009-0245-8
2013.0	2015.0	12.428	2013.0	Yilmaz I, 2010, ENVIRON EARTH SCI, V61, P821, DOI 10.1007/s12665-009-0394-9
2013.0	2016.0	12.2246	2013.0	Oh HJ, 2011, COMPUT GEOSCI-UK, V37, P1264, DOI 10.1016/j.cageo.2010.10.012
2013.0	2015.0	11.9069	2013.0	Pradhan B, 2010, LANDSLIDES, V7, P13, DOI 10.1007/s10346-009-0183-2
2014.0	2018.0	17.2254	2013.0	Pradhan B, 2013, COMPUT GEOSCI-UK, V51, P350, DOI 10.1016/j.cageo.2012.08.023
2014.0	2018.0	11.9382	2013.0	Devkota KC, 2013, NAT HAZARDS, V65, P135, DOI 10.1007/s11069-012-0347-6
2018.0	2020.0	32.9732	2015.0	Simonyan K, 2015, ARXIV, V0, P0
2018.0	2020.0	27.2035	2015.0	Long J, 2015, PROC CVPR IEEE, V0, PP3431, DOI 10.1109/CVPR.2015.7298965
2018.0	2020.0	16.4485	2015.0	LeCun Y, 2015, NATURE, V521, P436, DOI 10.1038/nature14539
2018.0	2020.0	15.7398	2015.0	Christian S, 2015, PROC CVPR IEEE, V0, PP1, DOI 10.1109/CVPR.2015.7298594
2018.0	2020.0	15.7237	2015.0	Ren SQ, 2015, ADV NEUR IN, V28, P0, DOI 10.1109/TPAMI.2016.2577031
2018.0	2020.0	13.9581	2015.0	Ioffe S, 2015, ARXIV 1502 03167, V1, P448
2018.0	2020.0	12.901	2015.0	Russakovsky O, 2015, INT J COMPUT VISION, V115, P211, DOI 10.1007/s11263-015-0816-y
2019.0	2020.0	27.8398	2015.0	Ronneberger O, 2015, LECT NOTES COMPUT SC, V9351, P234, DOI 10.1007/978-3-319-24574-4, 28
2019.0	2020.0	19.601	2016.0	He Kaiming, 2016, PROC CVPR IEEE, V0, P630
2019.0	2020.0	17.8631	2015.0	Kingma DP, 2015, 14126980 ARXIV, V0, P1
2020.0	2023.0	15.9074	2018.0	Hu J, 2018, PROC CVPR IEEE, V0, PP7132, DOI 10.1109/CVPR.2018.00745
2020.0	2023.0	13.6731	2019.0	Ma L, 2019, ISPRS J PHOTOGRAMM, V152, P166, DOI 10.1016/j.isprsjprs.2019.04.015
2020.0	2023.0	12.7292	2017.0	Badrinarayanan V, 2017, IEEE T PATTERN ANAL, V39, P2481, DOI 10.1109/TPAMI.2016.2644615
2021.0	2023.0	15.0343	2018.0	Chen LCE, 2018, LECT NOTES COMPUT SC, V11211, P833, DOI 10.1007/978-3-030-01234-2, 49
2021.0	2023.0	14.6724	2018.0	Woo SH, 2018, LECT NOTES COMPUT SC, V11211, P3, DOI 10.1007/978-3-030-01234-2, 1
2021.0	2023.0	14.1822	2017.0	Lin TY, 2017, PROC CVPR IEEE, V0, PP936, DOI 10.1109/CVPR.2017.106
2021.0	2023.0	13.3871	2017.0	Zhao HS, 2017, PROC CVPR IEEE, V0, PP6230, DOI 10.1109/CVPR.2017.660
